GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PageBuilder,org.bremersee.pagebuilder,PageBuilderJaxbContextDataProvider,6,35,1,1,0,9,2,5,1,5
PageBuilder,org.bremersee.pagebuilder,PageBuilder.SortTarget,0,15,0,0,0,3,0,1,0,1
PageBuilder,org.bremersee.pagebuilder,PageBuilder,9,301,11,21,0,77,12,25,1,20
PageBuilder,org.bremersee.pagebuilder.model,JsonPageDto,5,37,1,1,1,12,1,6,0,6
PageBuilder,org.bremersee.pagebuilder.model,AbstractSliceDto,0,63,0,0,0,22,0,8,0,8
PageBuilder,org.bremersee.pagebuilder.model,CommonPageDto,5,37,1,1,1,12,1,6,0,6
PageBuilder,org.bremersee.pagebuilder.model,CommonSliceDto,24,18,1,1,7,6,4,3,3,3
PageBuilder,org.bremersee.pagebuilder.model,AbstractPageDto,0,95,0,4,0,25,0,12,0,10
PageBuilder,org.bremersee.pagebuilder.model,AbstractChunkDto,18,114,5,15,4,23,7,20,2,15
PageBuilder,org.bremersee.pagebuilder.model,JsonSliceDto,5,37,1,1,1,12,1,6,0,6
PageBuilder,org.bremersee.pagebuilder.model,ObjectFactory,0,11,0,0,0,4,0,3,0,3
