GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Integration Ldaptive,org.bremersee.ldaptive.transcoder,DnValueTranscoder,0,45,0,8,0,12,0,9,0,5
Spring Integration Ldaptive,org.bremersee.ldaptive.transcoder,ValueTranscoderFactory,0,232,23,29,0,80,23,31,0,28
Spring Integration Ldaptive,org.bremersee.ldaptive.transcoder,UserAccountControlValueTranscoder,5,25,0,0,2,6,0,4,0,4
Spring Integration Ldaptive,org.bremersee.ldaptive.transcoder,GeneralizedTimeToOffsetDateTimeValueTranscoder,1,46,1,1,0,13,1,6,0,6
Spring Integration Ldaptive,org.bremersee.ldaptive.transcoder,FileTimeToOffsetDateTimeValueTranscoder,1,50,2,2,0,13,2,6,0,6
Spring Integration Ldaptive,org.bremersee.ldaptive.transcoder,UserAccountControl,0,129,7,27,0,27,7,18,0,8
Spring Integration Ldaptive,org.bremersee.ldaptive,LdaptiveProperties.ConnectionPoolProperties,0,41,0,0,0,13,0,1,0,1
Spring Integration Ldaptive,org.bremersee.ldaptive,DefaultLdaptiveErrorHandler,2,65,1,3,1,23,1,7,0,5
Spring Integration Ldaptive,org.bremersee.ldaptive,LdaptiveProperties.SslProperties.HostnameVerifier,3,29,0,0,1,6,1,2,1,2
Spring Integration Ldaptive,org.bremersee.ldaptive,LdaptiveProperties.ConnectionValidatorProperties.SearchRequestProperties.SearchFilterProperties,0,3,0,0,0,2,0,1,0,1
Spring Integration Ldaptive,org.bremersee.ldaptive,LdaptiveEntryMapper,1,36,1,1,0,7,1,6,0,6
Spring Integration Ldaptive,org.bremersee.ldaptive,LdaptiveProperties.ConnectionValidatorProperties,0,34,0,2,0,9,0,3,0,2
Spring Integration Ldaptive,org.bremersee.ldaptive,LdaptiveOperations,0,114,0,0,0,26,0,13,0,13
Spring Integration Ldaptive,org.bremersee.ldaptive,LdaptiveSambaTemplate,0,189,1,5,0,42,1,10,0,8
