GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveRememberMeTokenProvider.InvalidRememberMeTokenProvider,0,6,0,0,0,3,0,2,0,2
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveUserDetails,10,7,0,0,5,2,5,2,5,2
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptivePwdLastSetRememberMeTokenProvider,4,48,0,2,0,16,1,7,1,6
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveRememberMeTokenProvider,0,4,0,0,0,1,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveEvaluatedRememberMeTokenProvider,0,66,0,2,0,15,0,6,0,5
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveUserDetailsService,26,435,5,16,9,118,6,23,1,17
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveUserDetails.Builder,0,3,0,0,0,2,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.WithDefaults,3,89,3,3,1,24,3,2,0,2
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationToken,4,17,0,0,1,6,1,4,1,4
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationManager,46,445,8,46,7,114,9,43,1,24
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.StringReplacement,3,0,0,0,2,0,1,0,1,0
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,ReactiveLdaptiveAuthenticationManager,0,4,0,0,0,2,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.GroupFetchStrategy,0,21,0,0,0,4,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,EmailToUsernameResolverByLdapAttribute,0,131,4,10,0,31,4,9,0,6
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveRememberMeAuthenticationToken,12,11,0,0,3,3,3,1,3,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties,30,3,0,0,8,2,4,1,4,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveTokenBasedRememberMeServices,5,25,1,1,1,6,1,3,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.RoleMapping,3,0,0,0,2,0,1,0,1,0
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,AccountControlEvaluatorProperty,0,32,0,0,0,7,0,3,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,Template.TemplateMapperImpl,120,687,104,104,32,201,104,5,0,5
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,OpenLdapTemplate,0,18,0,0,0,7,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,GroupContainsUsersTemplate,0,6,0,0,0,3,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,Template,0,61,0,0,0,9,0,3,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,Template.TemplateMapper,0,5,0,0,0,1,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,NoAccountControlEvaluator,0,11,0,0,0,6,0,5,0,5
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,ActiveDirectoryTemplate,0,33,0,0,0,12,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,ActiveDirectoryAccountControlEvaluator,5,59,0,0,0,18,1,7,1,7
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,UserContainsGroupsTemplate,0,3,0,0,0,2,0,1,0,1
