GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Comparator,org.bremersee.comparator,ComparatorJaxbContextDataProvider,6,35,1,1,0,6,2,5,1,5
Comparator,org.bremersee.comparator,ComparatorChain,3,54,2,10,0,15,2,6,0,2
Comparator,org.bremersee.comparator,ValueComparator,0,166,5,37,0,28,5,20,0,4
Comparator,org.bremersee.comparator,ComparatorBuilder,0,157,0,0,0,29,0,22,0,22
Comparator,org.bremersee.comparator,ValueExtractorException,0,9,0,0,0,4,0,2,0,2
Comparator,org.bremersee.comparator,ComparatorException,0,9,0,0,0,4,0,2,0,2
Comparator,org.bremersee.comparator,ComparatorBuilder.DefaultComparatorBuilder,0,25,0,0,0,6,0,3,0,3
Comparator,org.bremersee.comparator,ValueExtractor,26,189,10,26,5,40,9,17,0,8
Comparator,org.bremersee.comparator,DelegatingComparator,6,45,0,4,2,10,1,4,1,2
Comparator,org.bremersee.comparator,DefaultValueExtractor,0,132,0,22,0,32,0,15,0,4
Comparator,org.bremersee.comparator.spring.mapper,SortMapper.DefaultSortMapper,0,7,0,0,0,2,0,2,0,2
Comparator,org.bremersee.comparator.spring.mapper,SortMapper,8,253,4,36,0,69,4,31,1,13
Comparator,org.bremersee.comparator.spring.converter,SortOrderItemConverter,0,19,0,0,0,7,0,3,0,3
Comparator,org.bremersee.comparator.spring.converter,SortOrderConverter,0,19,0,0,0,7,0,3,0,3
Comparator,org.bremersee.comparator.model,SortOrderItem.Direction,0,35,0,2,0,9,0,6,0,5
Comparator,org.bremersee.comparator.model,SortOrder,1,175,1,11,0,47,1,23,0,18
Comparator,org.bremersee.comparator.model,SortOrderTextSeparators,0,9,0,0,0,4,0,4,0,4
Comparator,org.bremersee.comparator.model,SortOrderItem.CaseHandling,0,35,0,2,0,9,0,6,0,5
Comparator,org.bremersee.comparator.model,ObjectFactory,0,11,0,0,0,3,0,3,0,3
Comparator,org.bremersee.comparator.model,SortOrderItem,0,335,1,33,0,68,1,33,0,17
Comparator,org.bremersee.comparator.model,SortOrderItem.NullHandling,1,60,3,7,0,14,3,7,0,5
