GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,ApiExceptionHandlerAutoConfiguration,0,64,0,0,0,20,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,RestApiExceptionMapperForWebFluxAutoConfiguration,0,47,0,0,0,12,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,RestApiExceptionParserForWebFluxAutoConfiguration,0,33,0,0,0,11,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,DefaultWebClientErrorDecoderAutoConfiguration,0,28,0,0,0,8,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.reactive,ApiExceptionHandler,18,226,9,11,3,52,9,7,0,6
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure,RestApiExceptionMapperBootProperties.ExceptionMappingImpl,3,26,2,2,1,9,2,2,0,2
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure,RestApiExceptionMapperBootProperties.ExceptionMappingConfigImpl,0,35,0,0,0,10,0,1,0,1
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure,RestApiExceptionMapperBootProperties,0,92,0,0,0,21,0,2,0,2
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,ApiExceptionResolverAutoConfiguration,0,79,0,0,0,21,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,FeignClientExceptionErrorDecoderAutoConfiguration,0,31,0,0,0,10,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,RestApiExceptionMapperForWebAutoConfiguration,0,46,0,0,0,11,0,4,0,4
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,RestTemplateErrorHandlerAutoConfiguration,0,17,0,0,0,6,0,2,0,2
Common Exception Spring Boot Autoconfiguration,org.bremersee.exception.spring.boot.autoconfigure.servlet,RestApiExceptionParserForWebAutoConfiguration,5,49,0,0,0,15,1,5,1,5
