GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Garmin Model,org.bremersee.garmin.forerunnerlogbook.v1.model,History,29,0,4,0,9,0,6,0,4,0
Garmin Model,org.bremersee.garmin.forerunnerlogbook.v1.model,LapT,45,0,0,0,19,0,13,0,13,0
Garmin Model,org.bremersee.garmin.forerunnerlogbook.v1.model,TrackpointT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.forerunnerlogbook.v1.model,PositionT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.forerunnerlogbook.v1.model,ObjectFactory,27,0,0,0,8,0,7,0,7,0
Garmin Model,org.bremersee.garmin.forerunnerlogbook.v1.model,RunT,28,0,2,0,10,0,7,0,6,0
Garmin Model,org.bremersee.garmin.forerunnerlogbook.v1.model,TrackT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.eula.v1.model,ObjectFactory,19,0,0,0,6,0,5,0,5,0
Garmin Model,org.bremersee.garmin.eula.v1.model,EulaT,38,0,0,0,16,0,11,0,11,0
Garmin Model,org.bremersee.garmin.eula.v1.model,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.eula.v1.model,VersionT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.eula.v1.model,Eulas,21,0,2,0,7,0,5,0,4,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,CustomSpeedZoneT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,ProfileHeartRateZoneT,31,0,0,0,13,0,9,0,9,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,ObjectFactory,43,0,0,0,12,0,11,0,11,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,ProfileActivityT,10,0,0,0,4,0,3,0,3,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,AbstractProfileActivityT,46,0,4,0,16,0,11,0,9,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,BikeProfileActivityT,26,0,4,0,9,0,6,0,4,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,GenderT,31,25,4,0,5,6,4,2,2,2
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,SportT,31,32,4,0,5,7,4,2,2,2
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,ProfileSpeedZoneT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,HeartRateInBeatsPerMinuteT,10,0,0,0,4,0,3,0,3,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,Profile,42,0,2,0,16,0,11,0,10,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,HeartRateTypeT,31,25,4,0,5,6,4,2,2,2
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,WheelDataT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,SpeedTypeT,31,25,4,0,5,6,4,2,2,2
Garmin Model,org.bremersee.garmin.userprofile.v1.model.ext,BikeDataT,45,0,0,0,19,0,13,0,13,0
Garmin Model,org.bremersee.garmin.activeitem.v1.model.ext,ActiveItemExtension,21,0,2,0,7,0,5,0,4,0
Garmin Model,org.bremersee.garmin.activeitem.v1.model.ext,LocationT,31,0,0,0,13,0,9,0,9,0
Garmin Model,org.bremersee.garmin.activeitem.v1.model.ext,ActiveItemT,28,0,2,0,10,0,7,0,6,0
Garmin Model,org.bremersee.garmin.activeitem.v1.model.ext,ObjectFactory,19,0,0,0,6,0,5,0,5,0
Garmin Model,org.bremersee.garmin.activeitem.v1.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.pressure.v1.model.ext,PressureExtension,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.pressure.v1.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.pressure.v1.model.ext,ObjectFactory,11,0,0,0,4,0,3,0,3,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,LocationT,31,0,0,0,13,0,9,0,9,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,UnlockCodeT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,ProtocolT,10,0,0,0,4,0,3,0,3,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,TransferDirectionT,31,32,4,0,5,7,4,2,2,2
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,AppProtocolT,21,0,2,0,7,0,5,0,4,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,MemoryRegionT,59,0,0,0,25,0,17,0,17,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,OutputFromUnitT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,InputToUnitT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,DataTypeT,28,0,2,0,10,0,7,0,6,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,UpdateFileT,38,0,0,0,16,0,11,0,11,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,ProtocolsT,28,0,2,0,10,0,7,0,6,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,ObjectFactory,75,0,0,0,20,0,19,0,19,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,MassStorageModeT,32,0,4,0,10,0,7,0,5,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,SpecificationT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,GarminModeT,28,0,2,0,10,0,7,0,6,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,Device,63,0,2,0,25,0,17,0,16,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,VersionT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,FileT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.garmindevice.v1.model,ModelT,31,0,0,0,13,0,9,0,9,0
Garmin Model,org.bremersee.garmin.adventures.v1.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.adventures.v1.model.ext,ObjectFactory,15,0,0,0,5,0,4,0,4,0
Garmin Model,org.bremersee.garmin.adventures.v1.model.ext,AdventuresExtension,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.adventures.v1.model.ext,AdventureT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,AutoroutePointT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,DisplayColorT,31,130,4,0,5,21,4,2,2,2
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,WaypointExtension,63,0,2,0,25,0,17,0,16,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,AddressT,49,0,2,0,19,0,13,0,12,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,CategoriesT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,TrackExtension,7,10,0,0,3,4,2,3,2,3
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,TrackPointExtension,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,RoutePointExtension,28,0,2,0,10,0,7,0,6,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,DisplayModeT,31,32,4,0,5,7,4,2,2,2
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,PhoneNumberT,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,RouteExtension,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.gpx.v3.model.ext,ObjectFactory,43,0,0,0,12,0,11,0,11,0
Garmin Model,org.bremersee.garmin.garmindevice.v2.model.ext,LocationT,31,0,0,0,13,0,9,0,9,0
Garmin Model,org.bremersee.garmin.garmindevice.v2.model.ext,ObjectFactory,19,0,0,0,6,0,5,0,5,0
Garmin Model,org.bremersee.garmin.garmindevice.v2.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.garmindevice.v2.model.ext,DeviceExtension,42,0,2,0,16,0,11,0,10,0
Garmin Model,org.bremersee.garmin.garmindevice.v2.model.ext,ActiveItemT,28,0,2,0,10,0,7,0,6,0
Garmin Model,org.bremersee.garmin.trackstats.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.trackstats.model.ext,ObjectFactory,11,0,0,0,4,0,3,0,3,0
Garmin Model,org.bremersee.garmin.trackstats.model.ext,TrackStatsExtension,136,0,0,0,58,0,39,0,39,0
Garmin Model,org.bremersee.garmin.trackpoint.v2.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.trackpoint.v2.model.ext,TrackPointExtension,66,0,0,0,28,0,19,0,19,0
Garmin Model,org.bremersee.garmin.trackpoint.v2.model.ext,ObjectFactory,11,0,0,0,4,0,3,0,3,0
Garmin Model,org.bremersee.garmin.calorieburndata.v1.model,AssessmentDataT,21,0,2,0,7,0,5,0,4,0
Garmin Model,org.bremersee.garmin.calorieburndata.v1.model,AssessmentTypeT,31,32,4,0,5,7,4,2,2,2
Garmin Model,org.bremersee.garmin.calorieburndata.v1.model,BurnDataT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.calorieburndata.v1.model,ObjectFactory,15,0,0,0,5,0,4,0,4,0
Garmin Model,org.bremersee.garmin.calorieburndata.v1.model,CalorieBurnData,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.video.v1.model.ext,TimeIndexTableT,21,0,2,0,7,0,5,0,4,0
Garmin Model,org.bremersee.garmin.video.v1.model.ext,VideoExtension,21,0,2,0,7,0,5,0,4,0
Garmin Model,org.bremersee.garmin.video.v1.model.ext,ExtensionsT,14,0,2,0,4,0,3,0,2,0
Garmin Model,org.bremersee.garmin.video.v1.model.ext,TimeIndexT,24,0,0,0,10,0,7,0,7,0
Garmin Model,org.bremersee.garmin.video.v1.model.ext,ObjectFactory,19,0,0,0,6,0,5,0,5,0
Garmin Model,org.bremersee.garmin.clientprofile.v1.model,AssessmentDataT,35,0,2,0,13,0,9,0,8,0
Garmin Model,org.bremersee.garmin.clientprofile.v1.model,ObjectFactory,19,0,0,0,6,0,5,0,5,0
Garmin Model,org.bremersee.garmin.clientprofile.v1.model,HRZoneDataT,73,0,0,0,31,0,21,0,21,0
Garmin Model,org.bremersee.garmin.clientprofile.v1.model,ClientProfile,56,0,2,0,22,0,15,0,14,0
Garmin Model,org.bremersee.garmin.clientprofile.v1.model,SexTypeT,31,25,4,0,5,6,4,2,2,2
Garmin Model,org.bremersee.garmin.clientprofile.v1.model,AssessmentTypeT,31,32,4,0,5,7,4,2,2,2
Garmin Model,org.bremersee.garmin.clientprofile.v1.model,BurnDataT,31,0,0,0,13,0,9,0,9,0
Garmin Model,org.bremersee.garmin.converterplugin.v1.model,UserInterfaceT,31,0,0,0,13,0,9,0,9,0
Garmin Model,org.bremersee.garmin.converterplugin.v1.model,ConverterPlugin.InputFormat,39,0,4,0,13,0,9,0,7,0
Garmin Model,org.bremersee.garmin.converterplugin.v1.model,ConverterPlugin.Stylesheet,21,0,2,0,7,0,5,0,4,0
Garmin Model,org.bremersee.garmin.converterplugin.v1.model,ConverterPlugin.Stylesheet.Parameter,17,0,0,0,7,0,5,0,5,0
Garmin Model,org.bremersee.garmin.converterplugin.v1.model,ObjectFactory,31,0,0,0,9,0,8,0,8,0
