GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveRememberMeTokenProvider.InvalidRememberMeTokenProvider,0,6,0,0,0,3,0,2,0,2
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptivePwdLastSetRememberMeTokenProvider,4,48,0,2,0,16,1,7,1,6
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveRememberMeTokenProvider,0,4,0,0,0,1,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveEvaluatedRememberMeTokenProvider,0,66,0,2,0,15,0,6,0,5
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveUserDetailsService,18,401,4,15,6,110,4,20,0,14
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.userdetails,LdaptiveUser,4,46,0,0,0,14,1,2,1,2
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.WithDefaults,3,102,3,5,1,28,3,4,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationToken,4,17,0,0,1,6,1,4,1,4
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,UsernameToBindDnConverterProperty,0,31,0,0,0,7,0,3,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationManager,57,512,15,55,10,128,14,47,0,26
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.StringReplacement,3,0,0,0,2,0,1,0,1,0
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,ReactiveLdaptiveAuthenticationManager,0,4,0,0,0,2,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.GroupFetchStrategy,0,21,0,0,0,4,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,EmailToUsernameResolverByLdapAttribute,0,131,4,10,0,31,4,9,0,6
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveRememberMeAuthenticationToken,12,11,0,0,3,3,3,1,3,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties,30,0,0,0,8,0,4,0,4,0
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveTokenBasedRememberMeServices,5,25,1,1,1,6,1,3,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,UsernameToBindDnConverter.ByUserRdnAttribute,0,41,0,0,0,9,0,4,0,4
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,UsernameToBindDnConverter.ByDomainEmail,0,70,0,2,0,17,0,8,0,7
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,LdaptiveAuthenticationProperties.RoleMapping,3,0,0,0,2,0,1,0,1,0
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication,AccountControlEvaluatorProperty,0,32,0,0,0,7,0,3,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,Template.TemplateMapperImpl,120,743,112,112,32,217,112,5,0,5
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,OpenLdapTemplate,0,18,0,0,0,7,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,GroupContainsUsersTemplate,0,6,0,0,0,3,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,Template,0,61,0,0,0,9,0,3,0,3
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,Template.TemplateMapper,0,5,0,0,0,1,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,NoAccountControlEvaluator,0,11,0,0,0,6,0,5,0,5
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,ActiveDirectoryTemplate,0,39,0,0,0,14,0,1,0,1
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,ActiveDirectoryAccountControlEvaluator,5,59,0,0,0,17,1,7,1,7
Spring Integration Security Ldaptive,org.bremersee.spring.security.ldaptive.authentication.provider,UserContainsGroupsTemplate,0,3,0,0,0,2,0,1,0,1
